Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
NUCKS1,V2,Down,-0.184176935,2.55E-08,0.00093299,8.65E-07,32.6,40.7
RNF13,V2,Down,-0.184391354,0.010335192,1,0.043814939,18.1,24.5
DTNB,V2,Down,-0.184411403,3.75E-09,0.000137416,1.55E-07,13.4,17.6
RIN2,V2,Down,-0.184723046,0.010087217,1,0.043013539,60.2,65.3
OLA1,V2,Down,-0.18480098,0.004379398,1,0.022484954,25,31.1
MRRF,V2,Down,-0.185040734,0.000110123,1,0.001150511,12.3,17.5
ETFA,V2,Down,-0.185129193,1.40E-07,0.005128668,4.01E-06,21.2,27.2
CCDC85A,V2,Down,-0.18540545,1.81E-06,0.066396693,3.69E-05,39.2,42.9
NNT,V2,Down,-0.185649796,0.001291581,1,0.008462327,11.1,16.2
GIT2,V2,Down,-0.185978201,0.006149035,1,0.02925672,16.3,22.5
SIL1,V2,Down,-0.186165822,0.000687568,1,0.005107399,13.9,19.8
JAM2,V2,Down,-0.186733254,7.39E-07,0.027033696,1.70E-05,35.8,41.0
SLCO3A1,V2,Down,-0.187157524,0.014049301,1,0.055854673,44.7,51.0
ANO10,V2,Down,-0.187173017,0.002094313,1,0.012438343,27,33.7
MAP3K5,V2,Down,-0.187187681,0.000561854,1,0.00438113,24.5,30.0
FKBP9,V2,Down,-0.188028148,8.17E-18,2.99E-13,1.27E-15,15.9,22.0
COL18A1,V2,Down,-0.188067152,0.006199076,1,0.029419269,20.8,27.2
EPSTI1,V2,Down,-0.188360232,0.000165284,1,0.001603512,33.7,39.4
MTX2,V2,Down,-0.188856004,2.83E-05,1,0.000377319,10.7,16.2
DNAJC6,V2,Down,-0.188981253,9.27E-05,1,0.000997577,10.8,14.6
SLC5A6,V2,Down,-0.18932777,4.68E-05,1,0.000573974,26.8,32.9
ZMYM4,V2,Down,-0.189516039,0.00025841,1,0.002328549,29.9,36.7
C2CD5,V2,Down,-0.190080485,0.009417574,1,0.040703651,15.3,22.5
HACE1,V2,Down,-0.190225643,2.62E-05,0.95863958,0.000352207,16.9,22.8
TBC1D22A,V2,Down,-0.190396709,7.47E-07,0.027328906,1.72E-05,54,59.3
SPAAR,V2,Down,-0.190746115,6.74E-11,2.47E-06,4.08E-09,14.9,21.1
EXOC4,V2,Down,-0.190865408,0.007277966,1,0.033285638,53.1,58.4
KCTD3,V2,Down,-0.191597915,5.42E-06,0.198338725,9.46E-05,13.4,19.1
MT3,V2,Down,-0.191791029,1.84E-05,0.674089093,0.000259971,30.5,38.6
USP40,V2,Down,-0.19202997,0.013219814,1,0.053147825,13.9,20.2
ALG13,V2,Down,-0.192278408,0.023394687,1,0.082765835,29.3,35.5
MAML2,V2,Down,-0.192402294,5.95E-05,1,0.000695363,32.9,38.2
KLC1,V2,Down,-0.19264766,1.25E-08,0.000458976,4.55E-07,35.3,43.0
CFI,V2,Down,-0.192673652,0.000551312,1,0.004317089,16.7,22.2
LRRC28,V2,Down,-0.19305738,0.00236138,1,0.013779564,10.1,14.8
DNAJC13,V2,Down,-0.193259227,4.88E-07,0.017848476,1.19E-05,14.8,21.0
CA5B,V2,Down,-0.193663898,4.51E-10,1.65E-05,2.33E-08,23,29.3
IFI44,V2,Down,-0.19405304,1.71E-05,0.625471329,0.000244609,29.9,38.2
LINC01693,V2,Down,-0.194209653,7.67E-17,2.81E-12,1.07E-14,12.3,18.3
PHYKPL,V2,Down,-0.194236654,0.00548387,1,0.02677814,15,21.7
AC139887.2,V2,Down,-0.195295243,0.020736079,1,0.07552564,11.8,18.0
SLFN12L,V2,Down,-0.195374667,1.51E-22,5.54E-18,3.67E-20,13.7,17.7
TTC28,V2,Down,-0.195588804,5.53E-07,0.020258555,1.34E-05,58,62.3
SCAI,V2,Down,-0.196233398,0.008719532,1,0.038370084,11.2,16.2
TMEM168,V2,Down,-0.19685658,1.69E-06,0.061800833,3.47E-05,11.5,17.5
SENP6,V2,Down,-0.197035048,0.006232078,1,0.029562122,35.9,43.0
ATRN,V2,Down,-0.197149551,0.000716557,1,0.00528292,13.7,19.3
NLRP1,V2,Down,-0.197157051,0.004801148,1,0.024133615,21.8,28.9
ATXN10,V2,Down,-0.197182428,0.000293776,1,0.002574396,26.3,33.5
DAP,V2,Down,-0.197778324,1.12E-06,0.041138385,2.44E-05,18,23.7
EHMT1,V2,Down,-0.197859921,0.00038446,1,0.003199858,28.8,36.6
PARP9,V2,Down,-0.198070676,9.20E-07,0.033673709,2.07E-05,27,34.4
STX18,V2,Down,-0.198232923,3.97E-05,1,0.000501451,12.6,18.1
SHPRH,V2,Down,-0.198290934,8.08E-05,1,0.000892909,28,35.9
KIAA1671,V2,Down,-0.19888025,9.90E-07,0.036230371,2.20E-05,17.9,24.8
DENND1A,V2,Down,-0.199067638,0.000405077,1,0.003334689,56.9,62.3
PPP2R5C,V2,Down,-0.199652225,0.0005776,1,0.004478214,30.8,37.2
HDAC4,V2,Down,-0.20000334,9.79E-05,1,0.001045663,19.1,25.9
ARHGAP31,V2,Down,-0.200220988,2.45E-05,0.898531051,0.000333593,51.8,57.0
RERE,V2,Down,-0.200457412,0.000934149,1,0.006558084,61.5,68.0
ARHGAP12,V2,Down,-0.200542947,0.000496181,1,0.003959847,22.3,29.1
FBXW4,V2,Down,-0.201070919,4.43E-06,0.16210603,7.97E-05,12.9,19.6
SPTLC2,V2,Down,-0.201164898,2.34E-06,0.085787788,4.60E-05,14.2,20.5
SPNS2,V2,Down,-0.201237994,4.21E-17,1.54E-12,5.96E-15,10.5,15.6
KANK3,V2,Down,-0.202146378,8.08E-05,1,0.000892909,30.7,38.8
SLC16A14,V2,Down,-0.202309316,0.027999458,1,0.094724143,12.1,17.2
ZNF721,V2,Down,-0.202554481,7.65E-08,0.002799987,2.35E-06,20,26.2
MYO5C,V2,Down,-0.202724363,0.001539426,1,0.009699572,19.3,26.1
TBC1D5,V2,Down,-0.202846875,0.020139224,1,0.073836279,49.4,55.1
ATP9B,V2,Down,-0.203027944,2.54E-06,0.092945711,4.93E-05,22.5,29.9
PGR,V2,Down,-0.203354657,0.001146942,1,0.007741097,18.8,24.3
NBAS,V2,Down,-0.203417726,6.37E-06,0.233098805,0.000107549,28.7,35.4
RBM26,V2,Down,-0.203589856,1.35E-06,0.049503738,2.86E-05,35.7,44.9
SNX24,V2,Down,-0.203595543,2.96E-05,1,0.000392334,10.6,15.6
CHD6,V2,Down,-0.203849403,0.000279576,1,0.002478728,29.8,37.1
KIAA0586,V2,Down,-0.2043054,4.92E-05,1,0.000595251,15.6,21.5
IBTK,V2,Down,-0.204750347,0.003006493,1,0.016711574,15,21.3
DHRSX,V2,Down,-0.204994941,0.001968991,1,0.011800629,24.5,30.0
CARD8,V2,Down,-0.205252414,0.001214575,1,0.008074588,24.8,32.2
TPK1,V2,Down,-0.205464917,7.31E-06,0.267380367,0.000120765,21.1,27.7
FTO,V2,Down,-0.205941787,1.27E-05,0.465051425,0.000192126,41,46.9
OSBPL9,V2,Down,-0.206154835,1.24E-07,0.004528365,3.56E-06,25,31.5
TFCP2,V2,Down,-0.206339361,0.010927076,1,0.045781417,17.7,24.9
CLEC16A,V2,Down,-0.206444136,4.93E-08,0.001805186,1.58E-06,21,28.8
TRMT11,V2,Down,-0.20650195,0.000292628,1,0.002565433,17.4,23.0
KLHL2,V2,Down,-0.206794094,8.89E-05,1,0.000968057,26.7,34.4
TENT2,V2,Down,-0.207558957,1.14E-09,4.16E-05,5.40E-08,29.6,38.1
AKAP10,V2,Down,-0.20759547,0.001279061,1,0.008396489,18.9,25.5
LIMS1,V2,Down,-0.208034754,0.000206058,1,0.001934633,31.3,37.4
CHST15,V2,Down,-0.208405053,7.93E-06,0.290159463,0.000128962,23.4,28.3
CFLAR,V2,Down,-0.208624633,4.24E-25,1.55E-20,1.44E-22,60.9,67.8
TDRD3,V2,Down,-0.208685979,3.96E-05,1,0.00050085,19.1,26.6
ULK4,V2,Down,-0.209539403,4.95E-06,0.181332623,8.75E-05,13.4,18.8
GNA14,V2,Down,-0.209592605,7.64E-13,2.80E-08,6.09E-11,13.7,17.9
FBXO38,V2,Down,-0.209836803,7.59E-06,0.27764145,0.000124504,14.7,21.7
AVL9,V2,Down,-0.209862408,5.77E-21,2.11E-16,1.16E-18,30.8,38.3
FUS,V2,Down,-0.210504114,0.003209564,1,0.017581443,27.2,34.8
DOP1A,V2,Down,-0.210570437,0.003320047,1,0.018055635,16.6,22.9
FAF1,V2,Down,-0.21101699,6.49E-05,1,0.000745239,46.5,52.6
LUC7L2,V2,Down,-0.212058528,0.000767082,1,0.005596076,33.1,42.0
RASGRP3,V2,Down,-0.212149706,7.32E-10,2.68E-05,3.62E-08,24.8,29.5
ACACA,V2,Down,-0.21232191,5.37E-06,0.196588589,9.40E-05,18.9,25.4
METTL15,V2,Down,-0.21248017,8.50E-06,0.311117281,0.000137073,22.5,28.6
ZNF652,V2,Down,-0.213965807,0.000881168,1,0.006275624,20.9,27.4
FBXW11,V2,Down,-0.214381938,0.000231511,1,0.002126581,30.6,38.0
SECISBP2,V2,Down,-0.214493252,0.000126881,1,0.001287951,18.9,25.5
WDPCP,V2,Down,-0.214498249,0.024155314,1,0.084619413,20.9,27.1
RALB,V2,Down,-0.21505327,1.61E-06,0.058962416,3.34E-05,16.8,23.9
DDX58,V2,Down,-0.215419484,0.000905171,1,0.006412968,15.1,21.2
SRBD1,V2,Down,-0.216023388,0.010444276,1,0.044193123,10.9,17.0
RPGR,V2,Down,-0.21621089,1.63E-05,0.596389721,0.000234554,58.5,64.4
JPX,V2,Down,-0.216479699,5.40E-05,1,0.000642213,31.8,40.7
MYO15B,V2,Down,-0.217739582,3.10E-06,0.113367658,5.87E-05,20.4,28.1
DECR1,V2,Down,-0.218047988,0.004059396,1,0.02116722,10.8,17.7
IL1R1,V2,Down,-0.218306522,0.000106414,1,0.001119212,11.7,14.6
OPHN1,V2,Down,-0.21835687,0.000225821,1,0.002086544,20.4,27.1
PSMF1,V2,Down,-0.218580828,0.015318712,1,0.059610788,20.7,28.1
C20orf194,V2,Down,-0.218973361,0.002422092,1,0.014057378,21,28.8
PTPRA,V2,Down,-0.219514332,0.000358698,1,0.003026218,28.6,37.4
DEPP1,V2,Down,-0.219629678,0.001835926,1,0.011144037,41.1,49.7
PRH1,V2,Down,-0.220273505,3.90E-05,1,0.000494712,10.6,15.4
RPS6KA2,V2,Down,-0.221324115,1.98E-05,0.723405713,0.000275745,51.4,56.0
COA1,V2,Down,-0.221455446,0.012201108,1,0.049858698,14.2,20.8
SFMBT2,V2,Down,-0.221809913,0.000691327,1,0.005127844,33.5,40.6
KLHDC10,V2,Down,-0.222140448,9.11E-07,0.033359118,2.05E-05,15.7,21.9
SHE,V2,Down,-0.222355432,4.76E-17,1.74E-12,6.69E-15,19.8,27.1
EML1,V2,Down,-0.222626707,8.56E-20,3.13E-15,1.62E-17,20.1,26.8
RCL1,V2,Down,-0.22293545,5.34E-09,0.000195343,2.14E-07,16.4,22.6
MNAT1,V2,Down,-0.222982726,1.40E-08,0.000512251,5.01E-07,30.7,39.1
CDC14B,V2,Down,-0.223377932,0.026128083,1,0.089733566,17.2,22.6
TTC17,V2,Down,-0.223659148,0.000172976,1,0.0016631,40.1,49.1
LRRC8D,V2,Down,-0.224311209,9.90E-05,1,0.001054707,12.1,17.8
R3HDM1,V2,Down,-0.225034035,0.001538309,1,0.009699572,27.3,34.9
GARS-DT,V2,Down,-0.225360678,0.000124868,1,0.001272594,14.8,22.0
RUNDC3B,V2,Down,-0.225435981,0.008183459,1,0.036475716,49.4,57.6
GPATCH8,V2,Down,-0.225856967,5.61E-06,0.205416053,9.72E-05,30.5,38.8
SCLT1,V2,Down,-0.226040523,0.021623577,1,0.077912917,14.2,19.1
VWA8,V2,Down,-0.226707908,0.000155298,1,0.001524782,11,17.3
VRK2,V2,Down,-0.227647757,7.61E-08,0.002784778,2.34E-06,25.1,32.5
CNKSR3,V2,Down,-0.227951219,3.13E-23,1.15E-18,8.29E-21,34.6,40.9
WDR70,V2,Down,-0.228075575,0.001447798,1,0.009271272,35.6,43.4
PPM1H,V2,Down,-0.228192315,0.000114511,1,0.001188431,24.3,30.7
PIGN,V2,Down,-0.228822242,0.001835658,1,0.011144037,11,17.5
PARG,V2,Down,-0.228935911,1.26E-05,0.462557458,0.000191522,15.7,23.5
GNB4,V2,Down,-0.230280141,0.002597324,1,0.014892055,25.3,32.8
WASHC1,V2,Down,-0.230706916,1.46E-08,0.000535371,5.21E-07,19.4,28.3
PPP3CB,V2,Down,-0.230739845,0.00785247,1,0.035301855,15.7,22.6
FAM172A,V2,Down,-0.230905127,0.003056372,1,0.016938018,44.5,51.8
WIPF1,V2,Down,-0.231444117,0.000817306,1,0.005892874,16.4,22.8
XXYLT1,V2,Down,-0.232193551,0.016631794,1,0.063603351,12.3,18.4
ZDHHC21,V2,Down,-0.232461417,8.66E-07,0.031706773,1.96E-05,23.3,31.5
BAALC,V2,Down,-0.232570254,0.005592826,1,0.027148981,14.6,20.1
PDSS2,V2,Down,-0.232748548,0.001515121,1,0.009596862,22,27.9
INVS,V2,Down,-0.233504538,8.14E-05,1,0.000897703,22.2,29.9
SLC7A11,V2,Down,-0.233676688,3.52E-07,0.012879361,9.04E-06,39,44.0
TVP23C,V2,Down,-0.234199998,3.85E-10,1.41E-05,2.03E-08,16.3,24.0
SIPA1L1,V2,Down,-0.234509703,9.80E-08,0.003587881,2.91E-06,34.3,42.2
MED27,V2,Down,-0.234594259,0.000618264,1,0.004702266,15.6,22.8
ZNF280D,V2,Down,-0.234822033,0.003428866,1,0.018501474,32.7,41.7
ZCCHC7,V2,Down,-0.235513242,2.38E-05,0.872578982,0.000325259,34.6,42.7
DST,V2,Down,-0.235563191,8.51E-05,1,0.000932947,29.6,38.3
MRTFB,V2,Down,-0.237182319,5.62E-05,1,0.000665185,76,80.7
CAMK1D,V2,Down,-0.238256941,1.74E-10,6.37E-06,9.77E-09,30.1,36.8
KIAA1328,V2,Down,-0.238850218,2.00E-09,7.32E-05,8.84E-08,17.4,23.0
CRYBG3,V2,Down,-0.238944316,0.00422623,1,0.021841595,30.1,36.9
STX8,V2,Down,-0.23911717,1.08E-05,0.395074282,0.00016744,20.1,28.3
SBF2,V2,Down,-0.239120667,1.55E-07,0.005686324,4.39E-06,57.6,63.5
HEG1,V2,Down,-0.239332537,3.30E-31,1.21E-26,1.68E-28,41.3,50.1
PBX1,V2,Down,-0.239414818,9.00E-05,1,0.000976416,30.6,37.2
SHLD1,V2,Down,-0.23998662,0.020738704,1,0.07552564,10.3,15.8
DIS3L2,V2,Down,-0.24093981,0.003067493,1,0.016981182,15.8,22.2
ATR,V2,Down,-0.241021987,5.23E-05,1,0.000627031,15.6,23.5
OSMR-AS1,V2,Down,-0.24157476,4.56E-05,1,0.000561493,13.5,19.2
EBF1,V2,Down,-0.241765181,0.000173198,1,0.001664452,47.7,52.0
ATP7B,V2,Down,-0.242758155,3.37E-05,1,0.000435177,28,35.2
ADAMTS9,V2,Down,-0.243414668,0.001190357,1,0.007942078,47.6,54.8
BABAM2,V2,Down,-0.243814627,0.000218914,1,0.002035637,39.6,46.8
GALNT17,V2,Down,-0.24425155,2.99E-21,1.09E-16,6.41E-19,27.4,32.6
IFNGR1,V2,Down,-0.244313827,2.59E-08,0.000946924,8.76E-07,42.4,49.1
VWA2,V2,Down,-0.244432623,0.011898973,1,0.048923394,13.2,20.8
RNGTT,V2,Down,-0.245761076,0.000197061,1,0.001857001,22.1,29.6
FGD5,V2,Down,-0.245980836,0.00116132,1,0.007817321,26,33.5
SLC30A9,V2,Down,-0.246450256,0.000347168,1,0.002950382,15.2,22.2
ANGPTL4,V2,Down,-0.246892736,0.006471103,1,0.030462007,14.6,21.9
ENTPD1,V2,Down,-0.24803801,0.019178193,1,0.07100983,15.2,20.9
STOX2,V2,Down,-0.24828125,1.31E-05,0.480515879,0.000197489,22.8,26.7
FBXL4,V2,Down,-0.248451,3.83E-06,0.14004904,6.98E-05,10.4,17.7
GPC5,V2,Down,-0.248659242,3.89E-08,0.00142223,1.27E-06,29.2,39.4
SCMH1,V2,Down,-0.249171888,4.84E-06,0.177239398,8.56E-05,19.9,27.8
JAK2,V2,Down,-0.249403662,1.61E-07,0.005885107,4.53E-06,29,37.1
TGM2,V2,Down,-0.250328228,2.55E-10,9.34E-06,1.40E-08,64.1,73.7
MTR,V2,Down,-0.25112626,9.69E-08,0.003545318,2.88E-06,12.4,19.6
UGGT2,V2,Down,-0.252317335,2.22E-07,0.008142639,6.04E-06,19.9,28.0
WDR7,V2,Down,-0.253638874,0.014250783,1,0.056446505,22.7,30.0
FOXP1,V2,Down,-0.255162312,9.98E-06,0.365259526,0.00015744,68.1,72.1
MIA2,V2,Down,-0.255322822,2.31E-17,8.45E-13,3.46E-15,23.3,30.2
ALPK1,V2,Down,-0.255354917,9.24E-05,1,0.000996333,11.7,18.1
PARN,V2,Down,-0.255566061,2.38E-07,0.008698586,6.41E-06,13.7,20.7
FTX,V2,Down,-0.255688393,2.48E-13,9.07E-09,2.15E-11,71.2,78.0
SLC4A4,V2,Down,-0.255827368,1.08E-07,0.003951136,3.17E-06,11.2,18.9
LINC01184,V2,Down,-0.256445303,4.33E-14,1.58E-09,4.28E-12,11.2,16.7
DEPTOR,V2,Down,-0.256473001,0.012796197,1,0.051817985,24.8,33.1
SNRK,V2,Down,-0.25648777,0.000842218,1,0.006048954,32.8,40.6
MX1,V2,Down,-0.257292081,0.003956427,1,0.020752406,27.7,35.6
CYYR1,V2,Down,-0.257736599,2.28E-06,0.083533459,4.51E-05,38,44.9
ATE1,V2,Down,-0.257954555,9.20E-07,0.03367417,2.07E-05,27.4,36.4
DISP1,V2,Down,-0.258153647,1.24E-05,0.454942598,0.000188931,12,17.8
SMAD6,V2,Down,-0.259369677,2.35E-28,8.61E-24,9.40E-26,34.7,38.8
NT5DC1,V2,Down,-0.259896636,6.41E-07,0.023459696,1.51E-05,22.6,29.9
DISC1,V2,Down,-0.26079731,0.00194837,1,0.011708024,27.7,35.5
NPAS3,V2,Down,-0.261354448,1.49E-10,5.47E-06,8.53E-09,33.8,46.2
SEC22A,V2,Down,-0.261380672,3.54E-05,1,0.000453977,10.5,16.5
MAPKAP1,V2,Down,-0.262456034,6.20E-06,0.227046418,0.000105294,23.4,32.1
DCLK2,V2,Down,-0.262848105,0.012064262,1,0.049428313,26.2,34.5
RFTN1,V2,Down,-0.263107321,1.40E-28,5.14E-24,6.19E-26,19.9,25.5
PGM5,V2,Down,-0.263423513,5.79E-06,0.212019865,9.96E-05,16.6,22.1
DPP10,V2,Down,-0.263482996,0.002198519,1,0.012919198,30.2,43.7
TTN-AS1,V2,Down,-0.263842865,2.36E-06,0.086355796,4.62E-05,14,18.6
PRKCH,V2,Down,-0.264046908,0.008149612,1,0.036356653,71.7,74.7
COMMD10,V2,Down,-0.265873995,0.000119596,1,0.001231173,32.1,39.2
AUTS2,V2,Down,-0.265999838,5.59E-06,0.204712772,9.71E-05,57.4,63.5
RNF144B,V2,Down,-0.26704668,1.38E-09,5.04E-05,6.42E-08,53.8,57.3
CD109,V2,Down,-0.26753536,0.014350805,1,0.056754454,16.6,21.9
MAGI2,V2,Down,-0.268637425,9.37E-14,3.43E-09,8.88E-12,28.6,34.5
DERA,V2,Down,-0.268662102,4.02E-05,1,0.000507169,13.8,21.7
AC011997.1,V2,Down,-0.268729388,2.39E-13,8.76E-09,2.09E-11,10.9,15.7
LINC01376,V2,Down,-0.268903571,3.96E-05,1,0.000500649,11.6,17.1
PARP4,V2,Down,-0.269659549,5.69E-07,0.020824852,1.36E-05,20.1,28.7
SDCCAG8,V2,Down,-0.269809585,0.022624117,1,0.080549761,29,37.8
KLHL5,V2,Down,-0.269827349,1.95E-05,0.714430454,0.000272884,51.1,61.3
GIMAP7,V2,Down,-0.270525956,5.41E-12,1.98E-07,3.86E-10,35.9,45.2
PLPPR4,V2,Down,-0.270765077,0.001073915,1,0.007333206,11.3,16.0
SORBS2,V2,Down,-0.270864269,1.22E-07,0.004464186,3.52E-06,64.7,69.5
XRRA1,V2,Down,-0.271175296,9.18E-05,1,0.000992801,15.5,23.5
ITFG1,V2,Down,-0.272083958,9.83E-05,1,0.001047996,35.1,45.7
C1GALT1,V2,Down,-0.272406799,1.93E-05,0.70768608,0.000270679,25.5,31.2
NCOA1,V2,Down,-0.272411636,0.000242553,1,0.002212062,73.5,78.3
NDRG2,V2,Down,-0.273004763,5.02E-05,1,0.000605626,25.8,32.8
TNFRSF1B,V2,Down,-0.273084107,0.003143907,1,0.017283709,15.7,24.5
CTNND1,V2,Down,-0.273211765,3.79E-06,0.138621038,6.92E-05,55,64.8
SCFD2,V2,Down,-0.273648181,7.59E-06,0.277671561,0.000124504,13.8,20.0
CNTLN,V2,Down,-0.273746874,4.27E-05,1,0.000532242,27.3,37.2
ZNF518A,V2,Down,-0.274158716,7.34E-05,1,0.000824996,15.6,24.3
ACBD6,V2,Down,-0.274164795,3.00E-05,1,0.000397146,21,29.5
FOXO1,V2,Down,-0.274206772,0.000336618,1,0.002873238,44.5,51.2
PITPNC1,V2,Down,-0.274281527,1.56E-05,0.56995681,0.000225913,58.3,67.3
ARMCX4,V2,Down,-0.277797156,6.42E-10,2.35E-05,3.21E-08,14,21.3
DAB2IP,V2,Down,-0.279641158,1.14E-08,0.000415497,4.18E-07,36.1,44.7
IER3,V2,Down,-0.282357697,0.011925213,1,0.048973729,10.7,15.2
C1orf61,V2,Down,-0.282815235,0.001859383,1,0.011269639,11.8,19.2
CMIP,V2,Down,-0.283321002,7.41E-05,1,0.000830696,33.3,40.9
MYEF2,V2,Down,-0.28363658,0.003468151,1,0.018661912,20.6,30.5
ABLIM1,V2,Down,-0.28417125,5.26E-05,1,0.000629233,64.3,72.1
CNTNAP3B,V2,Down,-0.284233498,5.78E-07,0.021167947,1.38E-05,37.9,46.0
ZHX3,V2,Down,-0.285992726,1.41E-05,0.514588519,0.000207963,19.1,27.4
SMAD1,V2,Down,-0.286284573,0.000696249,1,0.005156023,22.5,28.7
CIRBP,V2,Down,-0.286627505,0.001213955,1,0.008073743,15.8,24.3
CPE,V2,Down,-0.288124722,1.37E-07,0.005020784,3.93E-06,35.5,43.6
NRP1,V2,Down,-0.288189496,3.09E-09,0.000113174,1.32E-07,38.9,46.0
RAMP3,V2,Down,-0.289935832,4.02E-17,1.47E-12,5.73E-15,12.9,20.0
SOX5,V2,Down,-0.29164168,4.07E-05,1,0.000511673,55.3,61.6
CTTNBP2,V2,Down,-0.292599537,0.000942491,1,0.006590321,12.4,17.9
ACSL5,V2,Down,-0.295578925,3.40E-05,1,0.000437843,38.5,49.3
SHROOM4,V2,Down,-0.296265005,2.89E-08,0.001057767,9.70E-07,33,40.4
HMCN1,V2,Down,-0.297390285,0.000141246,1,0.001411284,27.5,32.4
LINC01473,V2,Down,-0.297424344,8.24E-09,0.000301681,3.14E-07,18.2,25.9
PHKB,V2,Down,-0.297772151,0.000450525,1,0.003662968,41.2,52.1
RCSD1,V2,Down,-0.298755158,0.02239866,1,0.080026622,16,23.8
DTNA,V2,Down,-0.299252163,1.02E-08,0.00037262,3.79E-07,29.6,42.2
FOCAD,V2,Down,-0.30014194,0.00276295,1,0.015634985,19.8,27.7
PLPP1,V2,Down,-0.300845838,7.16E-09,0.000262057,2.76E-07,54.5,59.9
UBAC2,V2,Down,-0.304092208,0.000478035,1,0.003837645,22.8,32.1
CEP192,V2,Down,-0.304605445,0.000938082,1,0.006570767,16,24.0
KIAA0319L,V2,Down,-0.306842967,7.22E-06,0.264215319,0.000119627,16.6,26.3
SH3D19,V2,Down,-0.307221916,3.22E-05,1,0.000421707,17,24.0
LDLRAD3,V2,Down,-0.308610524,0.016200187,1,0.06231523,60,65.5
ABCD3,V2,Down,-0.309877383,0.001914447,1,0.011558717,25.8,33.6
GLIS3,V2,Down,-0.310149686,4.13E-11,1.51E-06,2.56E-09,41.5,49.6
ETS1,V2,Down,-0.310472113,7.54E-06,0.27592922,0.000123923,46.6,55.5
SNX19,V2,Down,-0.313227296,8.57E-08,0.003135312,2.60E-06,10.7,19.8
ANXA2,V2,Down,-0.313463164,4.35E-40,1.59E-35,4.22E-37,31,42.2
ST3GAL3,V2,Down,-0.31385213,2.35E-08,0.000858933,8.04E-07,13.1,22.5
ZKSCAN1,V2,Down,-0.314444349,4.79E-08,0.001752678,1.54E-06,36,46.9
ACER2,V2,Down,-0.314548913,0.000518212,1,0.004100435,46,52.9
ABCG2,V2,Down,-0.314590228,0.00029448,1,0.002579452,63.8,76.3
MLEC,V2,Down,-0.314607984,0.000107444,1,0.001127135,30.1,40.1
PDE10A,V2,Down,-0.31690035,1.28E-12,4.67E-08,9.82E-11,60.9,66.4
NEK3,V2,Down,-0.3188231,3.99E-05,1,0.00050313,12.3,21.8
AC019197.1,V2,Down,-0.321927377,3.56E-22,1.30E-17,8.43E-20,15.6,19.1
RALGAPA2,V2,Down,-0.32323162,0.00933526,1,0.040433618,39.1,45.7
SLC19A3,V2,Down,-0.324559581,1.73E-09,6.32E-05,7.89E-08,31.5,42.8
SLFN5,V2,Down,-0.324746106,0.01174861,1,0.048495732,11.1,20.7
FAM120B,V2,Down,-0.324985721,0.00735279,1,0.033528392,20.7,31.1
TGFBR2,V2,Down,-0.327676703,1.80E-07,0.006602327,5.01E-06,50.2,60.0
PKP4,V2,Down,-0.330423676,9.58E-09,0.000350533,3.60E-07,56.2,62.4
ARHGEF3,V2,Down,-0.330798542,0.002490636,1,0.014369272,25.1,33.1
ADGRV1,V2,Down,-0.333621708,2.06E-14,7.55E-10,2.10E-12,17.4,27.3
IMMP2L,V2,Down,-0.334566233,0.001613534,1,0.010066929,45.5,50.7
ABCA1,V2,Down,-0.342778586,0.015717925,1,0.060915071,19.5,27.3
OSMR,V2,Down,-0.345337832,1.61E-09,5.90E-05,7.40E-08,46.5,56.1
EEFSEC,V2,Down,-0.346974903,0.000631906,1,0.004781044,11.7,20.9
IFI44L,V2,Down,-0.348590706,0.001268956,1,0.008350831,23.5,33.3
SUMF1,V2,Down,-0.349167329,2.33E-10,8.52E-06,1.29E-08,17.6,25.5
SLC7A5,V2,Down,-0.349962759,1.03E-07,0.003786157,3.05E-06,78.6,84.6
PARD3B,V2,Down,-0.350501225,8.12E-08,0.002970725,2.48E-06,24.5,31.7
ATG10,V2,Down,-0.350691802,0.001560538,1,0.009790229,14.8,23.0
SLC1A1,V2,Down,-0.354011939,0.005760937,1,0.027760092,57,65.0
TRAPPC9,V2,Down,-0.354409574,2.58E-05,0.945764874,0.000348343,22.1,32.1
HGSNAT,V2,Down,-0.354858667,1.78E-08,0.00065141,6.20E-07,11.9,22.5
MAP4K3-DT,V2,Down,-0.355781928,1.56E-10,5.72E-06,8.87E-09,20,29.1
ITGA6,V2,Down,-0.357950566,0.014745389,1,0.057932778,65.3,74.2
AL592183.1,V2,Down,-0.358084139,1.77E-07,0.006476841,4.93E-06,10.7,21.1
FAM107A,V2,Down,-0.359636856,4.68E-07,0.017133823,1.16E-05,53.4,62.8
HIPK3,V2,Down,-0.360464904,0.003001907,1,0.016699747,55.6,64.5
TMCC1,V2,Down,-0.360652075,1.89E-09,6.91E-05,8.46E-08,22.2,32.1
CACNA1C,V2,Down,-0.363431724,6.54E-07,0.023925365,1.53E-05,11.8,15.8
PKD2,V2,Down,-0.364821094,3.67E-09,0.000134187,1.53E-07,19.5,30.2
ARRDC3,V2,Down,-0.365052484,0.006035909,1,0.028873489,28,37.4
ETV6,V2,Down,-0.368473308,0.008295643,1,0.036870932,47.1,56.6
